Distance (um),Fiber Optic Diameter (mm),Threshold (W/cm2)
100,0.1,1.54293823242
100,0.2,0.643016494811
100,0.4,0.343957309602
150,0.1,2.16719976714
150,0.2,0.861112700445
150,0.4,0.438124723566
200,0.1,2.94193906176
200,0.2,1.12872491102
200,0.4,0.552513048487
250,0.1,3.88054086398
250,0.2,1.44857104029
250,0.4,0.687505396075
300,0.1,4.99918474529
300,0.2,1.82526386391
300,0.4,0.843783478105
350,0.1,6.32178402736
350,0.2,2.26571751762
350,0.4,1.02361090487
400,0.1,7.87900503144
400,0.2,2.77765704722
400,0.4,1.22912680617
450,0.1,9.69857870495
450,0.2,3.37058759436
450,0.4,1.46311150947
500,0.1,11.8020518244
500,0.2,4.05263327418
500,0.4,1.72800879232
550,0.1,14.2493225023
550,0.2,4.83906435564
550,0.4,2.02789403478
600,0.1,17.0786700742
600,0.2,5.73945052663
600,0.4,2.36598198589
650,0.1,20.3326576913
650,0.2,6.76596983232
650,0.4,2.74702339628
700,0.1,24.0686463979
700,0.2,7.93571947273
700,0.4,3.175450248
750,0.1,28.3433742839
750,0.2,9.26211095679
750,0.4,3.65645347098
800,0.1,33.2365907303
800,0.2,10.7678114988
800,0.4,4.19566092581
850,0.1,38.7934742632
850,0.2,12.4686545087
850,0.4,4.79750964494
900,0.1,45.1078348257
900,0.2,14.3880337402
900,0.4,5.47279213066
950,0.1,52.2694404667
950,0.2,16.5511387415
950,0.4,6.22486065218
1000,0.1,60.3762851537
1000,0.2,18.9928816945
1000,0.4,7.06436896034
1050,0.1,69.5398819533
1050,0.2,21.7312131104
1050,0.4,7.99799896581
1100,0.1,79.8550209242
1100,0.2,24.7987272011
1100,0.4,9.03918449981
1150,0.1,91.4864337461
1150,0.2,28.2321416638
1150,0.4,10.1976205058
1200,0.1,104.565444639
1200,0.2,32.0895419706
1200,0.4,11.4851729807
1250,0.1,119.248397589
1250,0.2,36.3917228969
1250,0.4,12.9139085036
1300,0.1,135.646484243
1300,0.2,41.1973208979
1300,0.4,14.4985200377
1350,0.1,154.103410244
1350,0.2,46.5583423284
1350,0.4,16.2601827883
1400,0.1,174.669932296
1400,0.2,52.5374405734
1400,0.4,18.2072502182
1450,0.1,197.719357839
1450,0.2,59.2047832982
1450,0.4,20.3516442587
1500,0.1,223.391095184
1500,0.2,66.5919255907
1500,0.4,22.7446542728
1550,0.1,252.056969422
1550,0.2,74.829412797
1550,0.4,25.3846360062
1600,0.1,283.99061532
1600,0.2,83.9977125146
1600,0.4,28.310264191
1650,0.1,319.485754874
1650,0.2,94.1453384115
1650,0.4,31.5465031664
1700,0.1,359.087930574
1700,0.2,105.42071204
1700,0.4,35.1059207086
1750,0.1,403.032425635
1750,0.2,117.879112771
1750,0.4,39.0532119215
1800,0.1,451.857866061
1800,0.2,131.663174596
1800,0.4,43.3948451426
1850,0.1,505.990674807
1850,0.2,146.942360274
1850,0.4,48.1795873653
1900,0.1,566.110151542
1900,0.2,163.848531409
1900,0.4,53.4627837472
1950,0.1,632.573328009
1950,0.2,182.69879078
1950,0.4,59.3012798687
2000,0.1,706.055863436
2000,0.2,203.404765345
2000,0.4,65.7241716149
